Pcard Transactions Acceptor Name,Pcard Transactions Cc Acceptor Country,Pcard Transactions Credit (Yes / No),Pcard Transactions Declined (Yes / No),Pcard Transactions Processing Type,Pcard Transactions Transaction Risk Score,Pcard Transactions Card Presence,Pcard Transactions Cardholder Presence,Pcard Transactions Fraud (Yes / No)
COCA COLA BRYAN,US,No,No,MAGSTRIPE,4,1,1,No
HERBALIFE - INTERNET,US,No,No,MANUAL,28,0,0,No
BLOWOUT MEDICAL LLC,US,No,No,MANUAL,33,0,0,No
ENDICIA POSTAGE (EMS),US,No,No,MANUAL,31,0,0,No
DUNKIN' MOBILE,US,No,No,CARD_ON_FILE,1,0,0,No
POSTAGE GOSHIPPO.COM,US,No,No,MANUAL,12,0,0,No
HOMEDEPOT.COM,US,No,No,MANUAL,25,0,0,No
THE UPS STORE,US,No,No,CHIP,1,1,1,No
STAPLS,US,No,No,MANUAL,9,0,0,No
Dick'sSportingGoods.com,US,No,No,CARD_ON_FILE,24,0,0,No
SKINCARE MARKET INC,US,No,No,MANUAL,24,0,0,No
AMAZON.COMPPYCL AMZN,US,No,No,MANUAL,2,0,0,No
SCOTT,US,No,No,MANUAL,30,0,0,No
WHOLEFDS FTA,US,No,No,CHIP,18,1,1,No
Target,US,No,No,MANUAL,13,0,0,No
KOHLS,US,No,No,CHIP,2,1,1,No
EBAY INC,US,No,No,MANUAL,5,0,0,No
WM SUPERCENTER,US,No,No,CHIP,30,1,1,No
FSIDIRECT ENERGY,US,No,No,MANUAL,3,0,0,No
SOLUTIONS PEST & LAWN,US,No,No,MANUAL,24,0,0,No
SAMS CLUB,US,No,No,CHIP,1,1,1,No
DOMYOWN.COM,US,No,No,UNKNOWN,7,0,0,No
BJS WHOLESALE CLUB,US,No,No,CARD_ON_FILE,5,0,0,No
LCHAYLEY,US,No,No,MANUAL,3,0,0,No
eBay O--,US,No,No,CARD_ON_FILE,10,0,0,No
ABT.COM,US,No,No,MANUAL,30,1,0,No
ZORO TOOLS INC,US,No,No,MANUAL,17,0,0,No
MIHOYO LIMITED,HK,No,No,MANUAL,32,0,0,No
DCNAILSUPPL,US,No,No,CARD_ON_FILE,2,0,0,No
KROGER,US,No,No,CHIP,3,1,1,No
EBAY US,US,No,No,CARD_ON_FILE,20,0,0,No
EBAY O --,US,No,No,UNKNOWN,27,0,0,No
Netflix.com,US,No,No,CARD_ON_FILE,5,0,0,No
BSNJ LLC,US,No,No,MANUAL,1,0,0,No
AMZN Mktp USAXDD,US,No,No,MANUAL,1,0,0,No
SIMPLEHUMAN,US,No,No,CARD_ON_FILE,8,0,0,No
WAL-MART,US,No,No,CHIP,2,1,1,No
AMAZON.COMMUHWA AMZN,US,No,No,MANUAL,7,0,0,No
GARDEN GROVE SUPERS,US,No,No,CHIP,19,1,1,No
WAL-MART,US,No,No,MANUAL,85,0,0,No
HOMEDEPOT CSTAR GFTCRD,US,No,No,MANUAL,7,0,0,No
DOMYOWN.COM,US,No,No,UNKNOWN,20,0,0,No
TARGET.COM,US,No,No,CARD_ON_FILE,2,0,0,No
-ELEVEN,US,No,No,MAGSTRIPE,40,0,0,No
MENARDS EVERGREEN PARK IL,US,No,No,UNKNOWN,18,0,0,No
KROGER,US,No,No,CHIP,7,1,1,No
AMZN Mktp USZXZU,US,No,No,MANUAL,7,0,0,No
"SP  SIMPLEHUMAN, LLC",US,No,No,MANUAL,24,0,0,No
WM SUPERCENTER,US,No,No,CHIP,22,1,1,No
"SQ BEST STUDIO EVER, INC",US,No,No,CARD_ON_FILE,3,0,0,No
EBAY VORTEXNITE,US,No,No,UNKNOWN,16,0,0,No
NEW RAGE CYCLES,US,No,No,MANUAL,17,0,0,No
TARGET.COM,US,No,No,,,,,No
BJS WHOLESALE,US,No,No,CHIP,27,1,1,No
UBER   EATS,US,No,No,CARD_ON_FILE,4,0,0,No
CHEWY INC,US,No,No,UNKNOWN,6,0,0,No
eBay O--,US,No,No,CARD_ON_FILE,18,0,0,No
MELALEUCA BACKUP ORDER,US,No,No,MANUAL,11,0,0,No
LIQUIDITYGR,US,No,No,MANUAL,13,0,0,No
AMAZON.COMFJIHE AMZN,US,No,No,MANUAL,6,0,0,No
WAL-MART,US,No,No,CARD_ON_FILE,27,0,0,No
PARTS UNLTDDRAG SPEC,US,No,No,MANUAL,2,0,0,No
SLICE PIZZA AND GRINDERS,US,No,No,MANUAL,8,1,1,No
Dick'sSportingGoods.com,US,No,No,MANUAL,34,0,0,No
AMZN Mktp USKOP,US,No,No,MANUAL,1,0,0,No
HOME DEPOT,US,No,No,UNKNOWN,9,0,0,No
INDIO CA,US,No,No,CHIP,30,1,1,No
WAL-MART,US,No,No,CARD_ON_FILE,33,0,0,No
GRUBHUBFOOD CHIPO,US,No,No,CARD_ON_FILE,5,0,0,No
RAISE.COM,US,No,No,CARD_ON_FILE,22,0,0,No
DILLARDS  COASTAL G,US,No,No,CHIP,9,1,1,No
Dick'sSportingGoods.com,US,No,No,CARD_ON_FILE,15,0,0,No
PARTS UNLTDDRAG SPEC,US,No,No,MANUAL,12,0,0,No
Amazon.comDVKQF,US,No,No,MANUAL,5,0,0,No
QUA FILTERS,US,No,No,MANUAL,5,0,0,No
STAPLS,US,No,No,MANUAL,16,0,0,No
EBAY VALUABLETH,US,No,No,MANUAL,11,0,0,No
SHOES.COM,US,No,No,UNKNOWN,6,0,0,No
SAMSCLUB.COM,US,No,No,MANUAL,4,0,0,No
SEZZLE ODR DUI P,US,No,No,CARD_ON_FILE,1,0,0,No
ZEVO,US,No,No,MANUAL,21,0,0,No
MICHAELS STORES,US,No,No,CHIP,27,1,1,No
Motel  BEAVER,US,No,No,CHIP,31,1,1,No
JAKES RESTAURANT & BAR,US,No,No,CHIP,5,1,1,No
WWW COSTCO COM,US,No,No,MANUAL,12,0,0,No
PANDA EXPRESS,US,No,No,MAGSTRIPE,19,1,1,No
POSTAGE GOSHIPPO.COM,US,No,No,UNKNOWN,6,0,0,No
HOME DEPOT,US,No,No,CARD_ON_FILE,10,0,0,No
KROGER,US,No,No,CHIP,2,1,1,No
SELECT NUTRITION UNFI,US,No,No,MANUAL,3,0,0,No
THE UPS STORE,US,No,No,CHIP,13,1,1,No
EBAY US,US,No,No,CARD_ON_FILE,8,0,0,No
GOODWILL ROSEBURG,US,No,No,MAGSTRIPE,19,1,1,No
WAYFAIRWayfair,US,No,No,MANUAL,13,0,0,No
AMZN Mktp USGPJN,US,No,No,MANUAL,3,0,0,No
AMAZON.COMMVCVG AMZN,US,No,No,MANUAL,1,0,0,No
DOLLAR TREE,US,No,No,CHIP,4,1,1,No
AMZN Mktp USRKTF,US,No,No,MANUAL,2,0,0,No
HOMEDEPOT.COM,US,No,No,MANUAL,24,0,0,No
HAIRCARE,US,No,No,MANUAL,32,0,0,No
DOLLAR TREE,US,No,No,CHIP,29,1,1,No
WALGREENS,US,No,No,CHIP,31,1,1,No
SWIFTFORKLI,US,No,No,MANUAL,30,0,0,No
ACE HARDWARE CORPORATION,US,No,No,MANUAL,7,0,0,No
TARGET,US,No,No,CHIP,3,1,1,No
UNFI CORP,US,No,No,UNKNOWN,4,0,0,No
PETFLOW,US,No,No,CARD_ON_FILE,20,0,0,No
WORLDS SEXIEST WHOLESALE,US,No,No,MANUAL,33,0,0,No
Prime NowMZHSS,US,No,No,MANUAL,19,0,0,No
SP  SASCHA FITNESS,US,No,No,MANUAL,28,0,0,No
BEFUNKY.COM,US,No,No,CARD_ON_FILE,2,0,0,No
TAVERNA KYMA,US,No,No,CHIP,13,1,1,No
CHICKFILA ONE,US,No,No,UNKNOWN,2,0,0,No
TURBOSIX EBAY TUR,US,No,No,UNKNOWN,6,0,0,No
AMAZON.COMXVU AMZN,US,No,No,MANUAL,1,0,0,No
SHELL OIL,US,No,No,CHIP,22,1,1,No
SHPSWANSON HLTH PROD,US,No,No,MANUAL,5,0,0,No
Dales Jr Market,US,No,No,CHIP,19,1,1,No
Amazon.comXYGA,US,No,No,MANUAL,10,0,0,No
TOTAL WINE AND MORE,US,No,No,CHIP,27,1,1,No
BEAUTOGEN,US,No,No,MANUAL,3,0,0,No
FASHIONGO LATISTE,US,No,No,CARD_ON_FILE,7,0,0,No
HOME DEPOT,US,No,No,UNKNOWN,8,0,0,No
ARBYS  VIRGINIA BEACH,US,No,No,CHIP,9,1,1,No
UNIQUE LOOM,US,No,No,MANUAL,2,0,0,No
WWW.ESALER UNIQUE LOO,US,No,No,MANUAL,4,0,0,No
BREAK TIME,US,No,No,CHIP,1,1,1,No
RICHELIEU AMERICA CO,US,No,No,MANUAL,3,0,0,No
WASH LAUNDRY WAVERIDER,US,No,No,MAGSTRIPE,5,0,0,No
ADW DIABETES LLC,US,No,No,MANUAL,7,0,0,No
PPAPPLE.COM/BILL,US,No,No,UNKNOWN,4,0,0,No
BARNES&NOBLE.COM,US,No,No,CARD_ON_FILE,2,0,0,No
APL ITUNES.COM/BILL,US,No,No,MANUAL,31,0,0,No
WAWA,US,No,No,CHIP,4,1,1,No
AMZN Mktp USMCXQ,US,No,No,MANUAL,11,0,0,No
Amazon.comVTXYX,US,No,No,MANUAL,3,0,0,No
SAMSCLUB.COM,US,No,No,MANUAL,22,0,0,No
WWW.KOHLS.COM,US,No,No,MANUAL,24,0,0,No
UNIQUE LOOM,US,No,No,MANUAL,6,0,0,No
Eldorado Trading Company,US,No,No,MANUAL,4,0,0,No
MCDONALD'S F,US,No,No,CHIP,2,1,1,No
TEDS CYCLE INC,US,No,No,MANUAL,3,0,0,No
AMZN Mktp USMSFJVZ,US,No,No,MANUAL,2,0,0,No
INTERNATIONAL PLASTICS -,US,No,No,MANUAL,28,0,0,No
NGUYENVIETD EBAY,US,Yes,No,,,,,No
HOMEDEPOT.COM,US,No,No,MANUAL,27,0,0,No
SP  SIGMA DISTRIB,US,No,No,MANUAL,2,0,0,No
SAVERS -,US,No,No,CHIP,7,1,1,No
VITACOSTCOM,US,No,No,CARD_ON_FILE,8,0,0,No
HOMEDEPOT.COM,US,No,No,MANUAL,13,0,0,No
DGI SUPPLY,US,No,No,MANUAL,6,0,0,No
VISTA FOODS,US,No,No,CHIP,1,1,1,No
SQ MAGLIA ROSA IND,US,No,No,CHIP,29,1,1,No
LAKESIDE COLLECTION,US,No,No,CARD_ON_FILE,4,0,0,No
NANA INC,US,No,No,MANUAL,2,0,0,No
SELF STORAGE PLUS-MIDD,US,No,No,MAGSTRIPE,19,1,1,No
COSTCO WHSE,US,No,No,CHIP,27,1,1,No
Dick'sSportingGoods.com,US,No,No,CARD_ON_FILE,20,0,0,No
THE WEBSTAURANT STORE,US,No,No,MANUAL,9,0,0,No
HOMEDEPOT.COM,US,Yes,No,,,,,No
WAREHOUSEGOODSLLC,US,No,No,MANUAL,10,0,0,No
ENDICIA POSTAGE (EMS),US,No,No,MANUAL,4,0,0,No
TACO BELL,US,No,No,CARD_ON_FILE,3,0,0,No
BJS WHOLESALE CLUB,US,No,No,CARD_ON_FILE,2,0,0,No
Target,US,No,No,MANUAL,20,0,0,No
